Date,Region,NTP,NTC,NTA,NTR,TR,NB,pourcentage
2015-09,Auvergne,6106,5988,118,359,94.00467601870407,15.67966573816156,"7,81"
2013-07,Bourgogne,7613,7558,55,688,90.89706271500395,9.98546511627907,"9,75"
2013-07,Basse Normandie,3815,3786,29,259,93.15900686740623,13.617760617760618,"7,54"
2015-01,Pays-de-la-Loire,11178,10980,198,941,91.42987249544626,10.668437832093517,"10,18"
2015-09,Languedoc Roussillon,4835,4755,80,597,87.44479495268139,6.964824120603015,14
2013-07,Centre,9512,9243,269,868,90.60910959645136,9.648617511520737,"11,95"
2013-07,Bretagne,7363,7299,64,483,93.38265515824084,14.111801242236025,"7,42"
2015-01,Picardie,10847,10698,149,1039,90.28790428117404,9.296438883541867,"10,95"
2015-10,Aquitaine,8739,8470,269,1036,87.76859504132231,7.175675675675675,"14,93"
2013-07,Nord Pas de Calais,15550,15313,237,1013,93.38470580552472,14.116485686080948,"8,03"
2015-02,Aquitaine,8037,7823,214,825,89.45417359069411,8.482424242424242,"12,92"
2015-10,Bourgogne,7778,7690,88,887,88.46553966189857,7.66967305524239,"12,53"
2013-08,Aquitaine,8740,8651,89,937,89.16888221014912,8.232657417289222,"11,73"
2013-07,Rhône Alpes,29889,29432,457,3518,88.04702364773036,7.366117111995452,"13,29"
2015-02,Midi Pyrénées,8017,7771,246,710,90.8634667352979,9.945070422535212,"11,92"
2015-10,Centre,9024,8941,83,867,90.30309808746225,9.312572087658593,"10,52"
2013-08,Auvergne,5580,5518,62,448,91.88111634650237,11.316964285714286,"9,13"
2013-08,Haute Normandie,5872,5824,48,199,96.5831043956044,28.266331658291456,"4,2"
2015-03,Bourgogne,7864,7800,64,533,93.16666666666669,13.634146341463415,"7,59"
2013-08,Bourgogne,7234,7191,43,448,93.7699902656098,15.051339285714286,"6,78"
2013-08,Poitou Charentes,3490,3469,21,237,93.16805995964256,13.637130801687764,"7,39"
2015-03,Languedoc Roussillon,4382,4293,89,459,89.30817610062893,8.352941176470589,"12,5"
2015-10,Picardie,11405,11206,199,1153,89.71086917722648,8.71899392888118,"11,85"
2013-08,Nord Pas de Calais,15120,14752,368,832,94.36008676789588,16.73076923076923,"7,93"
2013-08,Rhône Alpes,28320,28038,282,2391,91.4722876096726,10.726474278544542,"9,43"
2015-03,Limousin,4153,4130,23,285,93.0992736077482,13.491228070175438,"7,41"
2015-10,Poitou Charentes,3423,3392,31,352,89.62264150943396,8.636363636363637,"11,18"
2013-08,Picardie,9862,9806,56,501,94.89088313277584,18.572854291417165,"5,64"
2013-09,Alsace,18800,18680,120,801,95.71199143468952,22.320848938826465,"4,89"
2015-03,Midi Pyrénées,8706,8524,182,559,93.44204598779916,14.24865831842576,"8,51"
2015-10,Rhône Alpes,28761,28386,375,3281,88.44148523920242,7.651630600426699,"12,71"
2013-09,Auvergne,5887,5803,84,441,92.40048250904704,12.158730158730158,"8,91"
2015-03,Picardie,11447,11087,360,1027,90.73689907098404,9.79552093476144,"12,11"
2015-11,Bretagne,7911,7832,79,647,91.73901940755871,11.105100463678516,"9,17"
2013-09,Bretagne,8218,8166,52,472,94.21993632133236,16.300847457627118,"6,37"
2013-09,Centre,9572,9188,384,632,93.12146277753592,13.537974683544304,"10,61"
